"Purdue Fort Wayne",245
"Quinnipiac",246
"Radford",247
"Rhode Island",248
"Rice",249
"Richmond",250
"Rider",251
"Robert Morris",252
"Rutgers",253
"Sacramento St.",254
"Sacred Heart",255
"Saint Joseph's",256
"Saint Louis",257
"Saint Mary's",258
"Saint Peter's",259
"Sam Houston St.",260
"Samford",261
"San Diego",262
"San Diego St.",263
"San Francisco",264
"San Jose St.",265
"Santa Clara",266
"Savannah St.",267
"Seattle",268
"Seton Hall",269
"Siena",270
"SIU Edwardsville",271
"SMU",272
"South Alabama",273
"South Carolina",274
"South Carolina St.",275
"South Dakota",276
"South Dakota St.",277
"South Florida",278
"Southeast Missouri St.",279
"Southeastern Louisiana",280
"Southern",281
"Southern Illinois",282
"Southern Miss",283
"Southern Utah",284
"Southwest Missouri St.",285
"Southwest Texas St.",286
"St. Bonaventure",287
"St. Francis NY",288
"St. Francis PA",289
"St. John's",290
"Stanford",291
"Stephen F. Austin",292
"Stetson",293
"Stony Brook",294
"Syracuse",295
"TCU",296
"Team",297
"Temple",298
"Tennessee",299
"Tennessee Martin",300
"Tennessee St.",301
"Tennessee Tech",302
"Texas",303
"Texas A&M",304
"Texas A&M Corpus Chris",305
"Texas Pan American",306
"Texas Southern",307
"Texas St.",308
"Texas Tech",309
"The Citadel",310
"Toledo",311
"Towson",312
"Troy",313
"Troy St.",314
"Tulane",315
"Tulsa",316
"UAB",317
"UC Davis",318
"UC Irvine",319
"UC Riverside",320
"UC Santa Barbara",321
"UCF",322
"UCLA",323
"UMass Lowell",324
"UMBC",325
"UMKC",326
"UNC Asheville",327
"UNC Greensboro",328
"UNC Wilmington",329
"UNLV",330
"USC",331
"USC Upstate",332
"UT Arlington",333
"UT Rio Grande Valley",334
"Utah",335
"Utah St.",336
"Utah Valley",337
"Utah Valley St.",338
"UTEP",339
"UTSA",340
"Valparaiso",341
"Vanderbilt",342
"VCU",343
"Vermont",344
"Villanova",345
"Virginia",346
"Virginia Tech",347
"VMI",348
"Wagner",349
"Wake Forest",350
"Washington",351
"Washington St.",352
"Weber St.",353
"West Virginia",354
"Western Carolina",355
"Western Illinois",356
"Western Kentucky",357
"Western Michigan",358
"Wichita St.",359
"William & Mary",360
"Winston Salem St.",361
"Winthrop",362
"Wisconsin",363
"Wofford",364
"Wright St.",365
"Wyoming",366
"Xavier",367
"Yale",368
"Youngstown St.",369
